Entry,Gene Names,Protein names,protein_symbol
Q8TF40,FNIP1 KIAA1961,Folliculin-interacting protein 1,FNIP1
Q8TF42,UBASH3B KIAA1959 STS1,Ubiquitin-associated and SH3 domain-containing protein B,UBASH3B
Q8TF46,DIS3L DIS3L1 KIAA1955,DIS3-like exonuclease 1,DIS3L
Q8TF47,ZFP90 KIAA1954 ZNF756,Zinc finger protein 90 homolog,ZFP90
Q8TF50,ZNF526 KIAA1951,Zinc finger protein 526,ZNF526
Q8TF62,ATP8B4 KIAA1939,Probable phospholipid-transporting ATPase IM,ATP8B4
Q8TF63,DCANP1 C5orf20 DCNP1,Dendritic cell nuclear protein 1,DCANP1
Q8TF65,GIPC2,PDZ domain-containing protein GIPC2,GIPC2
Q8TF66,LRRC15 LIB,Leucine-rich repeat-containing protein 15,LRRC15
Q8TF71,SLC16A10 MCT10 TAT1,Monocarboxylate transporter 10,SLC16A10
Q8TF72,SHROOM3 KIAA1481 SHRML MSTP013,Protein Shroom3,SHROOM3
Q8TF74,WIPF2 WICH WIRE PP10631,WAS/WASL-interacting protein family member 2,WIPF2
Q8TF76,HASPIN GSG2,Serine/threonine-protein kinase haspin,HASPIN
Q8WTP8,AEN ISG20L1 SBBI58,Apoptosis-enhancing nuclease,AEN
Q8WTQ1,DEFB104A DEFB104 DEFB4; DEFB104B,Beta-defensin 104,DEFB104A
Q8WTQ7,GRK7 GPRK7,Rhodopsin kinase GRK7,GRK7
Q8WTR2,DUSP19 DUSP17 LMWDSP3 SKRP1,Dual specificity protein phosphatase 19,DUSP19
Q8WTR4,GDPD5 GDE2 PP6037 PP9363 UNQ1850/PRO3580,Glycerophosphodiester phosphodiesterase domain-containing protein 5,GDPD5
Q8WTR7,ZNF473 KIAA1141 ZFP100,Zinc finger protein 473,ZNF473
Q8WTS1,ABHD5 NCIE2 CGI-58,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,ABHD5
Q8WTS6,SETD7 KIAA1717 KMT7 SET7 SET9,Histone-lysine N-methyltransferase SETD7,SETD7
Q8WTT0,CLEC4C BDCA2 CLECSF11 CLECSF7 DLEC HECL UNQ9361/PRO34150,C-type lectin domain family 4 member C,CLEC4C
Q8WTT2,NOC3L AD24 C10orf117 FAD24,Nucleolar complex protein 3 homolog,NOC3L
Q8WTU0,DDI1,Protein DDI1 homolog 1,DDI1
Q8WTV0,SCARB1 CD36L1 CLA1,Scavenger receptor class B member 1,SCARB1
Q8WTV1,THAP3,THAP domain-containing protein 3,THAP3
Q8WTW3,COG1 KIAA1381 LDLB,Conserved oligomeric Golgi complex subunit 1,COG1
Q8WTW4,NPRL2 TUSC4,GATOR1 complex protein NPRL2,NPRL2
Q8WTX7,CASTOR1 GATSL3,Cytosolic arginine sensor for mTORC1 subunit 1,CASTOR1
Q8WTX9,ZDHHC1 C16orf1 ZNF377,Palmitoyltransferase ZDHHC1,ZDHHC1
Q8WU03,GLYATL2,Glycine N-acyltransferase-like protein 2,GLYATL2
Q8WU08,STK32A YANK1,Serine/threonine-protein kinase 32A,STK32A
Q8WU10,PYROXD1,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1,PYROXD1
Q8WU17,RNF139 TRC8,E3 ubiquitin-protein ligase RNF139,RNF139
Q8WU20,FRS2,Fibroblast growth factor receptor substrate 2,FRS2
Q8WU39,MZB1 MEDA7 PACAP HSPC190,Marginal zone B- and B1-cell-specific protein,MZB1
Q8WU58,FAM222B C17orf63,Protein FAM222B,FAM222B
Q8WU66,TSPEAR C21orf29,Thrombospondin-type laminin G domain and EAR repeat-containing protein,TSPEAR
Q8WU67,ABHD3,Phospholipase ABHD3,ABHD3
Q8WU68,U2AF1L4 U2AF1-RS3 U2AF1L3,Splicing factor U2AF 26 kDa subunit,U2AF1L4
Q8WU79,SMAP2 SMAP1L,Stromal membrane-associated protein 2,SMAP2
Q8WU90,ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730,Zinc finger CCCH domain-containing protein 15,ZC3H15
Q8WUA4,GTF3C2 KIAA0011,General transcription factor 3C polypeptide 2,GTF3C2
Q8WUA7,TBC1D22A C22orf4,TBC1 domain family member 22A,TBC1D22A
Q8WUA8,TSKU E2IG4 LRRC54 TSK UNQ850/PRO1788,Tsukushi,TSKU
Q8WUB8,PHF10 BAF45A,PHD finger protein 10,PHF10
Q8WUD1,RAB2B,Ras-related protein Rab-2B,RAB2B
Q8WUD6,CHPT1 CPT1 MSTP022,Cholinephosphotransferase 1,CHPT1
Q8WUE5,CT55 CXorf48,Cancer/testis antigen 55,CT55
Q8WUF5,PPP1R13L IASPP NKIP1 PPP1R13BL RAI,RelA-associated inhibitor,PPP1R13L
Q8WUF8,ARB2A C5orf21 FAM172A,Cotranscriptional regulator ARB2A,ARB2A
Q8WUG5,SLC22A17 BOCT BOIT,Solute carrier family 22 member 17,SLC22A17
Q8WUH2,TGFBRAP1,Transforming growth factor-beta receptor-associated protein 1,TGFBRAP1
Q8WUI4,HDAC7 HDAC7A,Histone deacetylase 7,HDAC7
Q8WUJ0,STYX,Serine/threonine/tyrosine-interacting protein,STYX
Q8WUJ3,CEMIP HYBID KIAA1199,Cell migration-inducing and hyaluronan-binding protein,CEMIP
Q8WUK0,PTPMT1 MOSP PLIP PNAS-129,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,PTPMT1
Q8WUM0,NUP133,Nuclear pore complex protein Nup133,NUP133
Q8WUM4,PDCD6IP AIP1 ALIX KIAA1375,Programmed cell death 6-interacting protein,PDCD6IP
Q8WUM9,SLC20A1 GLVR1 PIT1,Sodium-dependent phosphate transporter 1,SLC20A1
Q8WUP2,FBLIM1 FBLP1,Filamin-binding LIM protein 1,FBLIM1
Q8WUQ7,CACTIN C19orf29,Splicing factor Cactin,CACTIN
Q8WUU4,ZNF296 ZNF342,Zinc finger protein 296,ZNF296
Q8WUU5,GATAD1 ODAG,GATA zinc finger domain-containing protein 1,GATAD1
Q8WUU8,TMEM174,Transmembrane protein 174,TMEM174
Q8WUW1,BRK1 C3orf10 HSPC300 MDS027,Protein BRICK1,BRK1
Q8WUX1,SLC38A5 JM24 SN2 SNAT5 PP7194,Sodium-coupled neutral amino acid transporter 5,SLC38A5
Q8WUX9,CHMP7,Charged multivesicular body protein 7,CHMP7
Q8WUY3,PRUNE2 BMCC1 BNIPXL C9orf65 KIAA0367,Protein prune homolog 2,PRUNE2
Q8WV16,DCAF4 WDR21 WDR21A,DDB1- and CUL4-associated factor 4,DCAF4
Q8WV19,SFT2D1 C6orf83,Vesicle transport protein SFT2A,SFT2D1
Q8WV22,NSMCE1 HSPC333 HSPC337,Non-structural maintenance of chromosomes element 1 homolog,NSMCE1
Q8WV24,PHLDA1 PHRIP TDAG51,Pleckstrin homology-like domain family A member 1,PHLDA1
Q8WV28,BLNK BASH SLP65,B-cell linker protein,BLNK
Q8WV37,ZNF480,Zinc finger protein 480,ZNF480
Q8WV41,SNX33 SH3PX3 SH3PXD3C SNX30,Sorting nexin-33,SNX33
Q8WV44,TRIM41 RINCK,E3 ubiquitin-protein ligase TRIM41,TRIM41
Q8WV74,NUDT8,Mitochondrial coenzyme A diphosphatase NUDT8,NUDT8
Q8WV92,MITD1,MIT domain-containing protein 1,MITD1
Q8WV93,AFG1L AFG1 LACE1,AFG1-like ATPase,AFG1L
Q8WV99,ZFAND2B AIRAPL,AN1-type zinc finger protein 2B,ZFAND2B
Q8WVB3,HEXD HEXDC,Hexosaminidase D,HEXD
Q8WVB6,CHTF18 C16orf41 CTF18,Chromosome transmission fidelity protein 18 homolog,CHTF18
Q8WVC0,LEO1 RDL,RNA polymerase-associated protein LEO1,LEO1
Q8WVD3,RNF138 NARF HSD-4 HSD4,E3 ubiquitin-protein ligase RNF138,RNF138
Q8WVD5,RNF141 ZNF230,RING finger protein 141,RNF141
Q8WVE7,TMEM170A TMEM170,Transmembrane protein 170A,TMEM170A
Q8WVF1,OSCP1 C1orf102 NOR1,Protein OSCP1,OSCP1
Q8WVJ2,NUDCD2,NudC domain-containing protein 2,NUDCD2
Q8WVJ9,TWIST2 BHLHA39 DERMO1,Twist-related protein 2,TWIST2
Q8WVK2,SNRNP27,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,SNRNP27
Q8WVK7,SKA2 FAM33A,Spindle and kinetochore-associated protein 2,SKA2
Q8WVM0,TFB1M CGI-75,"Dimethyladenosine transferase 1, mitochondrial",TFB1M
Q8WVM7,STAG1 SA1 SCC3,Cohesin subunit SA-1,STAG1
Q8WVM8,SCFD1 C14orf163 KIAA0917 STXBP1L2 FKSG23,Sec1 family domain-containing protein 1,SCFD1
Q8WVN6,SECTM1 K12,Secreted and transmembrane protein 1,SECTM1
Q8WVN8,UBE2Q2,Ubiquitin-conjugating enzyme E2 Q2,UBE2Q2
Q8WVP5,TNFAIP8L1,Tumor necrosis factor alpha-induced protein 8-like protein 1,TNFAIP8L1
Q8WVP7,LMBR1 C7orf2 DIF14,Limb region 1 protein homolog,LMBR1
Q8WVQ1,CANT1 SHAPY,Soluble calcium-activated nucleotidase 1,CANT1
Q8WVR3,TRAPPC14 C7orf43 MAP11,Trafficking protein particle complex subunit 14,TRAPPC14
Q8WVS4,DYNC2I1 WDR60,Cytoplasmic dynein 2 intermediate chain 1,DYNC2I1
Q8WVT3,TRAPPC12 TRAMM TTC15 CGI-87,Trafficking protein particle complex subunit 12,TRAPPC12
Q8WVV4,POF1B,Protein POF1B,POF1B
Q8WVV5,BTN2A2 BT2.2 BTF2,Butyrophilin subfamily 2 member A2,BTN2A2
Q8WVV9,HNRNPLL HNRPLL SRRF BLOCK24,Heterogeneous nuclear ribonucleoprotein L-like,HNRNPLL
Q8WVX3,C4orf3,Uncharacterized protein C4orf3,C4orf3
Q8WVX9,FAR1 MLSTD2 UNQ2423/PRO4981,Fatty acyl-CoA reductase 1,FAR1
Q8WVY7,UBLCP1,Ubiquitin-like domain-containing CTD phosphatase 1,UBLCP1
Q8WVZ1,ZDHHC19,Palmitoyltransferase ZDHHC19,ZDHHC19
Q8WVZ7,RNF133,E3 ubiquitin-protein ligase RNF133,RNF133
Q8WVZ9,KBTBD7,Kelch repeat and BTB domain-containing protein 7,KBTBD7
Q8WW01,TSEN15 C1orf19 SEN15,tRNA-splicing endonuclease subunit Sen15,TSEN15
Q8WW12,PCNP,PEST proteolytic signal-containing nuclear protein,PCNP
Q8WW22,DNAJA4,DnaJ homolog subfamily A member 4,DNAJA4
Q8WW24,TEKT4,Tektin-4,TEKT4
Q8WW34,TMEM239,Transmembrane protein 239,TMEM239
Q8WW35,DYNLT2B TCTEX1D2,Dynein light chain Tctex-type protein 2B,DYNLT2B
Q8WW38,ZFPM2 FOG2 ZNF89B,Zinc finger protein ZFPM2,ZFPM2
Q8WW43,APH1B PSFL UNQ688/PRO1328,Gamma-secretase subunit APH-1B,APH1B
Q8WWA0,ITLN1 INTL ITLN LFR UNQ640/PRO1270,Intelectin-1,ITLN1
Q8WWB3,DYDC1 DPY30D1 RSD-9 RSD9,DPY30 domain-containing protein 1,DYDC1
Q8WWB5,PIH1D2,PIH1 domain-containing protein 2,PIH1D2
Q8WWB7,GLMP C1orf85 PSEC0030 UNQ2553/PRO6182,Glycosylated lysosomal membrane protein,GLMP
Q8WWF3,SSMEM1 C7orf45,Serine-rich single-pass membrane protein 1,SSMEM1
Q8WWF5,ZNRF4 RNF204,E3 ubiquitin-protein ligase ZNRF4,ZNRF4
Q8WWG9,KCNE4,Potassium voltage-gated channel subfamily E member 4,KCNE4
Q8WWH4,ASZ1 ALP1 ANKL1 C7orf7 GASZ,"Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1",ASZ1
Q8WWH5,TRUB1 PUS4,Pseudouridylate synthase TRUB1,TRUB1
Q8WWI1,LMO7 FBX20 FBXO20 KIAA0858,LIM domain only protein 7,LMO7
Q8WWI5,SLC44A1 CD92 CDW92 CTL1,Choline transporter-like protein 1,SLC44A1
Q8WWK9,CKAP2 LB1 TMAP,Cytoskeleton-associated protein 2,CKAP2
Q8WWL2,SPIRE2 KIAA1832 SPIR2,Protein spire homolog 2,SPIRE2
Q8WWL7,CCNB3 CYCB3,G2/mitotic-specific cyclin-B3,CCNB3
Q8WWM7,ATXN2L A2D A2LG A2LP A2RP,Ataxin-2-like protein,ATXN2L
Q8WWM9,CYGB STAP,Cytoglobin,CYGB
Q8WWN8,ARAP3 CENTD3,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",ARAP3
Q8WWN9,IPCEF1 KIAA0403,Interactor protein for cytohesin exchange factors 1,IPCEF1
Q8WWP7,GIMAP1 IMAP1,GTPase IMAP family member 1,GIMAP1
Q8WWQ0,PHIP DCAF14 WDR11,PH-interacting protein,PHIP
Q8WWQ2,HPSE2 HPA2,Inactive heparanase-2,HPSE2
Q8WWQ8,STAB2 FEEL2 FELL FEX2 HARE,Stabilin-2,STAB2
Q8WWR8,NEU4 LP5125,Sialidase-4,NEU4
Q8WWT9,SLC13A3 NADC3 SDCT2,Na,SLC13A3
Q8WWU5,TCP11,T-complex protein 11 homolog,TCP11
Q8WWV3,RTN4IP1 NIMP,"Reticulon-4-interacting protein 1, mitochondrial",RTN4IP1
Q8WWV6,FCAMR FKSG87,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,FCAMR
Q8WWW0,RASSF5 NORE1 RAPL,Ras association domain-containing protein 5,RASSF5
Q8WWX8,SLC5A11 KST1 SLGTX SMIT2,Sodium/myo-inositol cotransporter 2,SLC5A11
Q8WWX9,SELENOM SELM,Selenoprotein M,SELENOM
Q8WWY3,PRPF31 PRP31,U4/U6 small nuclear ribonucleoprotein Prp31,PRPF31
Q8WWY6,MBD3L1 MBD3L,Methyl-CpG-binding domain protein 3-like 1,MBD3L1
Q8WWY8,LIPH LPDLR MPAPLA1 PLA1B,Lipase member H,LIPH
Q8WWZ1,IL1F10 FIL1T IL1HY2 IL38 FKSG75 UNQ6119/PRO20041,Interleukin-1 family member 10,IL1F10
Q8WWZ3,EDARADD,Ectodysplasin-A receptor-associated adapter protein,EDARADD
Q8WWZ4,ABCA10,ATP-binding cassette sub-family A member 10,ABCA10
Q8WWZ7,ABCA5 KIAA1888,Cholesterol transporter ABCA5,ABCA5
Q8WWZ8,OIT3 LZP UNQ826/PRO1753,Oncoprotein-induced transcript 3 protein,OIT3
Q8WX92,NELFB COBRA1 KIAA1182,Negative elongation factor B,NELFB
Q8WX93,PALLD KIAA0992 CGI-151,Palladin,PALLD
Q8WX94,NLRP7 NALP7 NOD12 PYPAF3,"NACHT, LRR and PYD domains-containing protein 7",NLRP7
Q8WXA3,RUFY2 KIAA1537 RABIP4R,RUN and FYVE domain-containing protein 2,RUFY2
Q8WXA8,HTR3C,5-hydroxytryptamine receptor 3C,HTR3C
Q8WXA9,SREK1 SFRS12 SRRP86,Splicing regulatory glutamine/lysine-rich protein 1,SREK1
Q8WXB1,METTL21A FAM119A HCA557B,Protein N-lysine methyltransferase METTL21A,METTL21A
Q8WXC3,PYDC1 ASC2 ASCI POP1 PYC1,Pyrin domain-containing protein 1,PYDC1
Q8WXC6,COPS9 MYEOV2,COP9 signalosome complex subunit 9,COPS9
Q8WXD0,RXFP2 GPR106 GREAT LGR8,Relaxin receptor 2,RXFP2
Q8WXD2,SCG3 UNQ2502/PRO5990,Secretogranin-3,SCG3
Q8WXD5,GEMIN6,Gem-associated protein 6,GEMIN6
Q8WXE1,ATRIP AGS1,ATR-interacting protein,ATRIP
Q8WXE9,STON2 STN2 STNB,Stonin-2,STON2
Q8WXF0,SRSF12 SFRS13B SFRS19 SRRP35,Serine/arginine-rich splicing factor 12,SRSF12
Q8WXF1,PSPC1 PSP1,Paraspeckle component 1,PSPC1
Q8WXF3,RLN3 INSL7 RXN3 ZINS4 UNQ6188/PRO20213,Relaxin-3,RLN3
Q8WXF7,ATL1 GBP3 SPG3A,Atlastin-1,ATL1
Q8WXF8,DEDD2 FLAME3 PSEC0004,DNA-binding death effector domain-containing protein 2,DEDD2
Q8WXG1,RSAD2 CIG5,S-adenosylmethionine-dependent nucleotide dehydratase RSAD2,RSAD2
Q8WXG6,MADD DENN IG20 KIAA0358,MAP kinase-activating death domain protein,MADD
Q8WXG8,S100Z,Protein S100-Z,S100Z
Q8WXG9,ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1,Adhesion G-protein coupled receptor V1,ADGRV1
Q8WXH0,SYNE2 KIAA1011 NUA,Nesprin-2,SYNE2
Q8WXH2,JPH3 JP3 TNRC22,Junctophilin-3,JPH3
Q8WXH4,ASB11,Ankyrin repeat and SOCS box protein 11,ASB11
Q8WXH5,SOCS4 SOCS7,Suppressor of cytokine signaling 4,SOCS4
Q8WXI2,CNKSR2 CNK2 KIAA0902 KSR2,Connector enhancer of kinase suppressor of ras 2,CNKSR2
Q8WXI3,ASB10,Ankyrin repeat and SOCS box protein 10,ASB10
Q8WXI4,ACOT11 BFIT KIAA0707 THEA,Acyl-coenzyme A thioesterase 11,ACOT11
Q8WXI7,MUC16 CA125,Mucin-16,MUC16
Q8WXI8,CLEC4D CLECSF8 MCL,C-type lectin domain family 4 member D,CLEC4D
Q8WXI9,GATAD2B KIAA1150,Transcriptional repressor p66-beta,GATAD2B
Q8WXK1,ASB15,Ankyrin repeat and SOCS box protein 15,ASB15
Q8WXK3,ASB13,Ankyrin repeat and SOCS box protein 13,ASB13
Q8WXK4,ASB12,Ankyrin repeat and SOCS box protein 12,ASB12
Q8WXR4,MYO3B,Myosin-IIIb,MYO3B
Q8WXS3,BAALC,Brain and acute leukemia cytoplasmic protein,BAALC
Q8WXS5,CACNG8 CACNG6,Voltage-dependent calcium channel gamma-8 subunit,CACNG8
Q8WXS8,ADAMTS14,A disintegrin and metalloproteinase with thrombospondin motifs 14,ADAMTS14
Q8WXU2,DNAAF4 DYX1C1 EKN1,Dynein axonemal assembly factor 4,DNAAF4
Q8WXW3,PIBF1 C13orf24 PIBF,Progesterone-induced-blocking factor 1,PIBF1
Q8WXX0,DNAH7 KIAA0944,Dynein axonemal heavy chain 7,DNAH7
Q8WXX5,DNAJC9,DnaJ homolog subfamily C member 9,DNAJC9
Q8WXX7,AUTS2 KIAA0442,Autism susceptibility gene 2 protein,AUTS2
Q8WY07,SLC7A3 ATRC3 CAT3,Cationic amino acid transporter 3,SLC7A3
Q8WY21,SORCS1 SORCS,VPS10 domain-containing receptor SorCS1,SORCS1
Q8WY36,BBX HBP2,HMG box transcription factor BBX,BBX
Q8WY41,NANOS1 NOS1,Nanos homolog 1,NANOS1
Q8WY54,PPM1E CAMKN KIAA1072 POPX1,Protein phosphatase 1E,PPM1E
Q8WY64,MYLIP BZF1 IDOL BM-023 PP5242,E3 ubiquitin-protein ligase MYLIP,MYLIP
Q8WY91,THAP4 CGI-36 PP238,Peroxynitrite isomerase THAP4,THAP4
Q8WY98,TMEM234 C1orf91 PP1065 UNQ548/PRO1105,Transmembrane protein 234,TMEM234
Q8WYA0,IFT81 CDV1,Intraflagellar transport protein 81 homolog,IFT81
Q8WYA1,BMAL2 ARNTL2 BHLHE6 CLIF MOP9 PASD9,Basic helix-loop-helix ARNT-like protein 2,BMAL2
Q8WYA6,CTNNBL1 C20orf33 PP8304,Beta-catenin-like protein 1,CTNNBL1
Q8WYB5,KAT6B KIAA0383 MORF MOZ2 MYST4,Histone acetyltransferase KAT6B,KAT6B
Q8WYH8,ING5,Inhibitor of growth protein 5,ING5
Q8WYJ6,SEPTIN1 DIFF6 PNUTL3 SEPT1,Septin-1,SEPTIN1
Q8WYK0,ACOT12 CACH CACH1 STARD15,Acetyl-coenzyme A thioesterase,ACOT12
Q8WYK2,JDP2,Jun dimerization protein 2,JDP2
Q8WYL5,SSH1 KIAA1298 SSH1L,Protein phosphatase Slingshot homolog 1,SSH1
Q8WYN0,ATG4A APG4A AUTL2,Cysteine protease ATG4A,ATG4A
Q8WYP3,RIN2 RASSF4,Ras and Rab interactor 2,RIN2
Q8WYP5,AHCTF1 ELYS TMBS62 MSTP108,Protein ELYS,AHCTF1
Q8WYQ3,CHCHD10 C22orf16,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",CHCHD10
Q8WYQ5,DGCR8 C22orf12 DGCRK6 LP4941,Microprocessor complex subunit DGCR8,DGCR8
Q8WYR1,PIK3R5,Phosphoinositide 3-kinase regulatory subunit 5,PIK3R5
Q8WYR4,RSPH1 TSA2 TSGA2,Radial spoke head 1 homolog,RSPH1
Q8WZ04,TOMT COMT2 LRTOMT PP7517,Transmembrane O-methyltransferase,TOMT
Q8WZ19,KCTD13 BACURD1 PDIP1 POLDIP1 FKSG86 PP6832,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1,KCTD13
Q8WZ42,TTN,Titin,TTN
Q8WZ55,BSND BART,Barttin,BSND
Q8WZ59,TMEM190 MDAC1,Transmembrane protein 190,TMEM190
Q8WZ73,RFFL RNF189 RNF34L,E3 ubiquitin-protein ligase rififylin,RFFL
Q8WZ74,CTTNBP2 C7orf8 CORTBP2 KIAA1758,Cortactin-binding protein 2,CTTNBP2
Q8WZ75,ROBO4 UNQ421/PRO3674,Roundabout homolog 4,ROBO4
Q8WZA1,POMGNT1 MGAT1.2 UNQ746/PRO1475,"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",POMGNT1
Q8WZA2,RAPGEF4 CGEF2 EPAC2,Rap guanine nucleotide exchange factor 4,RAPGEF4
Q92185,ST8SIA1 SIAT8 SIAT8A,"Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase",ST8SIA1
Q92186,ST8SIA2 SIAT8B STX,"Alpha-2,8-sialyltransferase 8B",ST8SIA2
Q92187,ST8SIA4 PST PST1 SIAT8D,"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase",ST8SIA4
Q92466,DDB2,DNA damage-binding protein 2,DDB2
Q92478,CLEC2B AICL CLECSF2 IFNRG1,C-type lectin domain family 2 member B,CLEC2B
Q92481,TFAP2B,Transcription factor AP-2-beta,TFAP2B
Q92482,AQP3,Aquaporin-3,AQP3
Q92484,SMPDL3A ASML3A,Cyclic GMP-AMP phosphodiesterase SMPDL3A,SMPDL3A
Q92485,SMPDL3B ASML3B ASMLPD,Acid sphingomyelinase-like phosphodiesterase 3b,SMPDL3B
Q92496,CFHR4 CFHL4 FHR4,Complement factor H-related protein 4,CFHR4
Q92499,DDX1,ATP-dependent RNA helicase DDX1,DDX1
Q92502,STARD8 DLC3 KIAA0189,StAR-related lipid transfer protein 8,STARD8
Q92503,SEC14L1 SEC14L,SEC14-like protein 1,SEC14L1
Q92504,SLC39A7 HKE4 RING5,Zinc transporter SLC39A7,SLC39A7
Q92506,HSD17B8 FABGL HKE6 RING2 SDR30C1,3R)-3-hydroxyacyl-CoA dehydrogenase,HSD17B8
Q92508,PIEZO1 FAM38A KIAA0233,Piezo-type mechanosensitive ion channel component 1,PIEZO1
Q92519,TRIB2 TRB2,Tribbles homolog 2,TRIB2
Q92520,FAM3C ILEI GS3786,Protein FAM3C,FAM3C
Q92521,PIGB,GPI mannosyltransferase 3,PIGB
Q92522,H1-10 H1FX,Histone H1.10,H1-10
Q92523,CPT1B KIAA1670,"Carnitine O-palmitoyltransferase 1, muscle isoform",CPT1B
Q92526,CCT6B,T-complex protein 1 subunit zeta-2,CCT6B
Q92529,SHC3 NSHC SHCC,SHC-transforming protein 3,SHC3
Q92530,PSMF1,Proteasome inhibitor PI31 subunit,PSMF1
Q92535,PIGC GPI2,Phosphatidylinositol N-acetylglucosaminyltransferase subunit C,PIGC
Q92536,SLC7A6 KIAA0245,Y+L amino acid transporter 2,SLC7A6
Q92537,SUSD6 DRAGO KIAA0247,Sushi domain-containing protein 6,SUSD6
Q92538,GBF1 KIAA0248,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,GBF1
Q92539,LPIN2 KIAA0249,Phosphatidate phosphatase LPIN2,LPIN2
Q92540,SMG7 C1orf16 EST1C KIAA0250,Nonsense-mediated mRNA decay factor SMG7,SMG7
Q92541,RTF1 KIAA0252,RNA polymerase-associated protein RTF1 homolog,RTF1
Q92542,NCSTN KIAA0253 UNQ1874/PRO4317,Nicastrin,NCSTN
Q92543,SNX19 KIAA0254,Sorting nexin-19,SNX19
Q92544,TM9SF4 KIAA0255 TUCAP1,Transmembrane 9 superfamily member 4,TM9SF4
Q92546,RGP1 KIAA0258,RAB6A-GEF complex partner protein 2,RGP1
Q92547,TOPBP1 KIAA0259,DNA topoisomerase 2-binding protein 1,TOPBP1
Q92551,IP6K1 IHPK1 KIAA0263,Inositol hexakisphosphate kinase 1,IP6K1
Q92552,MRPS27 KIAA0264,Small ribosomal subunit protein mS27,MRPS27
Q92556,ELMO1 KIAA0281,Engulfment and cell motility protein 1,ELMO1
Q92558,WASF1 KIAA0269 SCAR1 WAVE1,Actin-binding protein WASF1,WASF1
Q92560,BAP1 KIAA0272 hucep-6,Ubiquitin carboxyl-terminal hydrolase BAP1,BAP1
Q92562,FIG4 KIAA0274 SAC3,Polyphosphoinositide phosphatase,FIG4
Q92563,SPOCK2 KIAA0275 TICN2 UNQ269/PRO306,Testican-2,SPOCK2
Q92564,DCUN1D4 KIAA0276,DCN1-like protein 4,DCUN1D4
Q92565,RAPGEF5 GFR KIAA0277 MRGEF,Rap guanine nucleotide exchange factor 5,RAPGEF5
Q92567,FAM168A KIAA0280 TCRP1,Protein FAM168A,FAM168A
Q92569,PIK3R3,Phosphatidylinositol 3-kinase regulatory subunit gamma,PIK3R3
Q92570,NR4A3 CHN CSMF MINOR NOR1 TEC,Nuclear receptor subfamily 4 group A member 3,NR4A3
Q92572,AP3S1 CLAPS3,AP-3 complex subunit sigma-1,AP3S1
Q92574,TSC1 KIAA0243 TSC,Hamartin,TSC1
Q92575,UBXN4 KIAA0242 UBXD2 UBXDC1,UBX domain-containing protein 4,UBXN4
Q92581,SLC9A6 KIAA0267 NHE6,Sodium/hydrogen exchanger 6,SLC9A6
Q92583,CCL17 SCYA17 TARC,C-C motif chemokine 17,CCL17
Q92585,MAML1 KIAA0200,Mastermind-like protein 1,MAML1
Q92597,NDRG1 CAP43 DRG1 RTP,Protein NDRG1,NDRG1
Q92598,HSPH1 HSP105 HSP110 KIAA0201,Heat shock protein 105 kDa,HSPH1
Q92599,SEPTIN8 KIAA0202 SEPT8,Septin-8,SEPTIN8
Q92600,CNOT9 RCD1 RQCD1,CCR4-NOT transcription complex subunit 9,CNOT9
Q92604,LPGAT1 FAM34A KIAA0205,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,LPGAT1
Q92608,DOCK2 KIAA0209,Dedicator of cytokinesis protein 2,DOCK2
Q92609,TBC1D5 KIAA0210,TBC1 domain family member 5,TBC1D5
Q92611,EDEM1 EDEM KIAA0212,ER degradation-enhancing alpha-mannosidase-like protein 1,EDEM1
Q92613,JADE3 KIAA0215 PHF16,Protein Jade-3,JADE3
Q92614,MYO18A CD245 KIAA0216 MYSPDZ TIAF1,Unconventional myosin-XVIIIa,MYO18A
Q92615,LARP4B KIAA0217 LARP5,La-related protein 4B,LARP4B
Q92616,GCN1 GCN1L1 KIAA0219,Stalled ribosome sensor GCN1,GCN1
Q92618,ZNF516 KIAA0222,Zinc finger protein 516,ZNF516
Q92619,ARHGAP45 HMHA1 KIAA0223,Rho GTPase-activating protein 45 [Cleaved into: Minor histocompatibility antigen HA-1,ARHGAP45
Q92620,DHX38 DDX38 KIAA0224 PRP16,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,DHX38
Q92621,NUP205 C7orf14 KIAA0225,Nuclear pore complex protein Nup205,NUP205
Q92622,RUBCN KIAA0226,Run domain Beclin-1-interacting and cysteine-rich domain-containing protein,RUBCN
